courseName,universityName,facultyName,isItFullTime,description,startDate,fees,modality,duration,city,country,administration,url,description_lemmatized,courseName_lemmatized,universityName_lemmatized,city_lemmatized,fees_USD
Clinical Trials (Online) MSc,University College Cork,College of Medicine and Health,['Part Time'],"Our Masters in Clinical Trials is suitable for those of you wishing to pursue a career in clinical trials in the pharmaceutical, medical device, or academic sectors.Our Clinical Trials programmes are run in collaboration with the Health Research Board (HRB) Clinical Research Facility in Cork. The HRB provides dedicated infrastructure, experienced research and support staff, and the necessary quality and oversight programs that are critical for the successful conduct of world-class patient-focused research. This is a fully online, part-time, course designed for the working professional. You must complete the Clinical Trials Certificate and Diploma prior to an application to this MSc programme.",September,"The EU fee for this course is €10,930.  The Non-EU fee for this course is €11,100.",MSc,9 months part time,Cork,Ireland,Online,https://www.findamasters.com/masters-degrees/course/clinical-trials-online-msc/?i271d8009c68551,master clinic trial suitabl wish pursu career clinic trial pharmaceut medic devic academ sectorsour clinic trial programm run collabor health research board hrb clinic research facil cork hrb provid dedic infrastructur experienc research support staff necessari qualiti oversight program critic success conduct worldclass patientfocus research fulli onlin parttim cours design work profession must complet clinic trial certif diploma prior applic msc programm,clinic trial onlin msc,univers colleg cork,cork,10145.51
"Master Psychology, specialisation in Cognitive Neuroscience",Maastricht University,Faculty of Psychology and Neuroscience,['Full Time'],"How does our brain separate the sound of a Ferrari from the background noise of other car engines, or the face of a friend from other faces in a crowd? How do different parts of the brain interact when we perform everyday activities like riding a bicycle, typing a summary and drinking a cup of coffee? And how are fMRI signals related to neural activity? If these questions intrigue you, the Cognitive Neuroscience specialisation of the master's in Psychology might be a good fit for you. You’ll gain in-depth knowledge of human brain function and cognition, and you'll get practical training in the application of non-invasive brain imaging techniques such as EEG and fMRI. Upon graduation, you'll be an expert in cognitive psychology as well as in neuroscientific methods, leaving you well-equipped for a career in applied and clinical research at universities, research institutes, educational institutes or commercial research organisations.",September,"Academic year 2022/23  The statutory fee for this programme is: €2,209 The institutional fee for this programme is: € 15,800 The statutory part time fee for this programme is: not applicable The institutional part time fee for this programme is: not applicable","MSc,Other",1 year full time,Maastricht,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/master-psychology-specialisation-in-cognitive-neuroscience/?i158d7271c69187,brain separ sound ferrari background nois car engin face friend face crowd differ part brain interact perform everyday activ like ride bicycl type summari drink cup coffe fmri signal relat neural activ question intrigu cognit neurosci specialis master psycholog might good fit ’ gain indepth knowledg human brain function cognit youll get practic train applic noninvas brain imag techniqu eeg fmri upon graduat youll expert cognit psycholog well neuroscientif method leav wellequip career appli clinic research univers research institut educ institut commerci research organis,master psycholog specialis cognit neurosci,maastricht univers,maastricht,2019.05
Health Informatics with Data Science MSc,University of Leeds,School of Medicine,"['Full Time', 'Part Time']","Demand for professionals qualified in health informatics and data science is on the rise.The need for healthcare services is currently exceeding supply worldwide, and health providers and leading multinationals are heavily investing in information technology to provide solutions.Our forward-thinking course provides insightful training into how modern applications of data and informatics in health management and planning can use and generate evidence to influence policy and practice.",September,"UK: £12,250 (Total) International: £27,500 (Total)",MSc,"1 year full time, 3 years part time",Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/health-informatics-with-data-science-msc/?i321d6216c66595,demand profession qualifi health informat data scienc riseth need healthcar servic current exceed suppli worldwid health provid lead multin heavili invest inform technolog provid solutionsour forwardthink cours provid insight train modern applic data informat health manag plan use gener evid influenc polici practic,health informat data scienc msc,univers leed,leed,21817.68
Logistics and Supply Chain Management MSc,University of Worcester,Worcester Business School,"['Full Time', 'Part Time', 'Online']","This degree has been specifically designed to provide you with a range of skills that will give you a competitive advantage in the global marketplace. You will be taught by senior academics who have wealth of professional experience and excellent links with industry. In studying a variety of subjects in the course modules, you will gain the knowledge and experience needed for a successful career in the area of Logistics, Supply Chain and Operations","September, January",,MSc,1 year full-time,Worcester,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/logistics-and-supply-chain-management-msc/?i374d4290c64691,degre specif design provid rang skill give competit advantag global marketplac taught senior academ wealth profession experi excel link industri studi varieti subject cours modul gain knowledg experi need success career area logist suppli chain oper,logist suppli chain manag msc,univers worcest,worcest,
Data Science (Statistics) MSc (Online),University of Leeds,School of Mathematics,['Part Time'],"Developed in collaboration with the School of Mathematics and the Leeds Institute for Data Analytics, our online Data Science (Statistics) masters degree offers you the opportunity to learn in-demand data skills such as data acquisition, data preparation, data wrangling, modelling and analysis, and how to deal with missing data.Whether you have an undergraduate degree in a quantitative subject with substantial elements of mathematics and statistics or you’re already working in a data-driven STEM field, you’ll be ready for business-critical senior roles in areas such as healthcare or environmental science.",January,"UK and International: £15,000 (£1,250 per course, per 15 credit course)  You won’t be billed upfront for the whole degree. Instead, pay as you go - each time you take a course, you’ll pay the tuition just for that course, unless your fees are paid directly by your employer or sponsor.",MSc,24 months part time,Leeds,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/data-science-statistics-msc-online/?i321d4893c70894,develop collabor school mathemat leed institut data analyt onlin data scienc statist master degre offer opportun learn indemand data skill data acquisit data prepar data wrangl model analysi deal miss datawheth undergradu degre quantit subject substanti element mathemat statist ’ alreadi work datadriven stem field ’ readi businesscrit senior role area healthcar environment scienc,data scienc statist msc onlin,univers leed,leed,11900.55
International Marketing MSc (online),University of Sussex,University of Sussex Online,['Part Time'],"This CIM accredited Online Masters is designed to meet the challenges faced by modern marketers in a global context. You’ll join students from over 40 countries working in multiple industries while studying at ABMA and EQUIS accredited business school.This Masters in International Marketing provides the theory, practical skills and specialist knowledge you need for a successful marketing career in today’s global business landscape.The course is designed to enhance your employability and help you become more effective in your current or future marketing roles from day one of your studies. Teaching is practical and applied, focusing on real-world cases studies, you’ll be encouraged to apply your learnings to your current role or organisation whilst you progress through the course.","January, March","Course fee: £12,660 Cost per module: £1,055  Fees can be paid on a module-by-module basis, or as a single fee at the start of the course.",MSc,2-4 years part-time,Brighton,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/international-marketing-msc-online/?i356d8280c58898,cim accredit onlin master design meet challeng face modern market global context ’ join student 40 countri work multipl industri studi abma equi accredit busi schoolthi master intern market provid theori practic skill specialist knowledg need success market career today ’ global busi landscapeth cours design enhanc employ help becom effect current futur market role day one studi teach practic appli focus realworld case studi ’ encourag appli learn current role organis whilst progress cours,intern market msc onlin,univers sussex,brighton,10044.06
Digital Anthropology MSc,University College London,Department of Anthropology,"['Full Time', 'Part Time']","Register your interest in graduate study at UCL﻿The MSc in Digital Anthropology, the first and most well-established of its kind worldwide, equips students with the skills to research and analyse the social and cultural dimensions of digital technologies and practices: including social media, data and algorithms, digital infrastructures, 3D printing and museum collections, and online politics. Combining the cross-cultural and comparative study of digital phenomena with anthropological theories and research methods, the MSc prepares students to practice as digital anthropologists across a broad range of policy, industry, government and academic environments.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/digital-anthropology-msc/?i274d1852c20139,regist interest graduat studi ucl﻿th msc digit anthropolog first wellestablish kind worldwid equip student skill research analys social cultur dimens digit technolog practic includ social media data algorithm digit infrastructur 3d print museum collect onlin polit combin crosscultur compar studi digit phenomena anthropolog theori research method msc prepar student practic digit anthropologist across broad rang polici industri govern academ environ,digit anthropolog msc,univers colleg london,london,14280.66
Global Conservation Science - MSc,University of Leeds,School of Biology,['Full Time'],"Become an ecological change makerSolutions to the global biodiversity crisis require an appreciation of the ecological, social, economic, political, and ethical aspects of environmental challenges that influence the way in which we go about conserving the natural",September,"UK: £13,750 (Total) International: £28,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/global-conservation-science-msc/?i321d4354c66125,becom ecolog chang makersolut global biodivers crisi requir appreci ecolog social econom polit ethic aspect environment challeng influenc way go conserv natur,global conserv scienc msc,univers leed,leed,22214.36
Integrative Counselling & Psychotherapy MSc,University of Wolverhampton,Institute of Human Sciences,"['Full Time', 'Part Time']","Study MSc Integrative Counselling and Psychotherapy with us and gain the skills you need to practise as a therapist. The University of Wolverhampton’s proven programme incorporates best practice from psychology, psychotherapy and healthcare fields, preparing you for professional positions within the thriving area of counselling.",September,Home - Full-time - £11550 per year Home - Part-time - £5775 per year International - Full-time - £15450 per year,MSc,"1 year full time, 2 years part time",Wolverhampton,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/integrative-counselling-and-psychotherapy-msc/?i373d8422c68876,studi msc integr counsel psychotherapi us gain skill need practis therapist univers wolverhampton ’ proven programm incorpor best practic psycholog psychotherapi healthcar field prepar profession posit within thrive area counsel,integr counsel psychotherapi msc,univers wolverhampton,wolverhampton,12257.57
Master of Science (MSc) in Finance,European School of Economics (Rome),Masters Programmes,"['Full Time', 'Part Time']",The Master of Science in Finance prepares fund managers and professional investment analysts for entrance into the banking and finance sector. The course examines the principles of financing and investment decisions and their impact across a broad range of contemporary management concerns.,See Course,Please see the university website for further information on fees for this course.  On-Campus : €28.000  Scholarships available up to 50%,MSc,"12-15 months, full-time",Rome,Italy,On Campus,https://www.findamasters.com/masters-degrees/course/master-of-science-msc-in-finance/?i3375d8416c60844,master scienc financ prepar fund manag profession invest analyst entranc bank financ sector cours examin principl financ invest decis impact across broad rang contemporari manag concern,master scienc msc financ,european school econom rome,rome,25.59
MSc Psychology,University of Portsmouth,Portsmouth Online,[],"Start date: January 2024Drive positive change as you delve into how the human mind and behaviour works with this online MSc Psychology from University of Portsmouth.This flexible online psychology course gives you the advanced knowledge, skills and tools to unpack the cultural environments, upbringing, mental processes and personality that all play a part in shaping a person’s mind and behaviours.You’ll examine each of these facets using a variety of research methods. You’ll also gain hands-on experience with the most relevant and influential of these research methods, further enhancing your skills by giving you the opportunity to conduct your own research studies.",See Course,"Please see the university website for further information on fees for this course. £9,400",MSc,2 years,Portsmouth,United Kingdom,Part Time,https://www.findamasters.com/masters-degrees/course/msc-psychology/?i343d8475c68580,start date januari 2024drive posit chang delv human mind behaviour work onlin msc psycholog univers portsmouththi flexibl onlin psycholog cours give advanc knowledg skill tool unpack cultur environ upbring mental process person play part shape person ’ mind behavioursy ’ examin facet use varieti research method ’ also gain handson experi relev influenti research method enhanc skill give opportun conduct research studi,msc psycholog,univers portsmouth,portsmouth,7457.68
MSc Management,University of Liverpool,Liverpool Online Programmes,['Part Time'],"Develop your intellectual learning and gain the skills to pursue a career within management and to lead in the dynamic business world with this fully online, part-time Management MSc from the University of Liverpool. The curriculum is ideal if you’re looking to pursue a career in international management – but want to develop a detailed understanding of global business issues, or even study a business subject for the first time. The programme provides a thorough understanding of management concepts such as decision-making, learning and development, and strategy alongside core business skills. This will help to equip you with the tools and confidence required to succeed as a manager in international business. ","January, May",,"MSc,PGDip,PGCert",2.5 years,Liverpool,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/msc-management/?i326d8583c65056,develop intellectu learn gain skill pursu career within manag lead dynam busi world fulli onlin parttim manag msc univers liverpool curriculum ideal ’ look pursu career intern manag – want develop detail understand global busi issu even studi busi subject first time programm provid thorough understand manag concept decisionmak learn develop strategi alongsid core busi skill help equip tool confid requir succeed manag intern busi,msc manag,univers liverpool,liverpool,
International Education with optional specialism (MSc),University of St Andrews,TESOL - International Education Institute,['Full Time'],The International Education MSc gives students the opportunity to integrate and explore theory and practice in the field of International Education. You will have the flexibility to select modules of interest and of benefit to your future career and will interact online with students on education-related programmes in St Andrews and around the world.,January,"Home: £10,395 Overseas: £21,390",MSc,18 months full time,St Andrews,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/international-education-with-optional-specialism-msc/?i350d8278c70076,intern educ msc give student opportun integr explor theori practic field intern educ flexibl select modul interest benefit futur career interact onlin student educationrel programm st andrew around world,intern educ option special msc,univers st andrew,st andrew,16970.18
International Tourism Management with Work Experience (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],"Gain the skills and knowledge required to plan, manage and promote products, businesses and destinations — while gaining real industry experience.",September,"Our tuition fee for UK students starting full-time study in 2023/24 is £9,910 for the course without work experience placement or £11,410 with work experience placement.  Please see the university website for further information on fees for this course.",MSc,2 years full-time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/international-tourism-management-with-work-experience-msc/?i219d2021c57477,gain skill knowledg requir plan manag promot product busi destin — gain real industri experi,intern tourism manag work experi msc,sheffield hallam univers,sheffield,9052.35
Geospatial Sciences (Building Information Modelling and Surveying) MSc,University College London,"Department of Civil, Environmental & Geomatic Engineering","['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe Geospatial Sciences (Building Information Modelling) MSc teaches students the theory, tools and techniques for working with geospatial data, from acquisition to processing to analysis. Students have the opportunity to engage and work with academics and industrial partners on cutting-edge research through seminars and a dissertation.About this degreeThe specialist Building Information Modelling (BIM) programme will educate students in the geometric and semantic aspects of BIM and the integrated management of geospatial and BIM-related data. This includes principles of surveying, 3D reality capture, a general overview of technologies related to mapping sciences, geo-information science and 3D geometric modelling.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/geospatial-sciences-building-information-modelling-and-surveying-msc/?i274d1826c53440,regist interest graduat studi uclth geospati scienc build inform model msc teach student theori tool techniqu work geospati data acquisit process analysi student opportun engag work academ industri partner cuttingedg research seminar dissertationabout degreeth specialist build inform model bim programm educ student geometr semant aspect bim integr manag geospati bimrel data includ principl survey 3d realiti captur gener overview technolog relat map scienc geoinform scienc 3d geometr model,geospati scienc build inform model survey msc,univers colleg london,london,14280.66
Brain and Mind Sciences MSc,University College London,Institute of Neurology,['Full Time'],"Register your interest in graduate study at UCLThis international programme is offered by three of Europe's most prestigious centres of research and teaching in cognitive studies and neuroscience: UCL, Université Pierre et Marie Curie (part of Sorbonne University), and Ecole Normale Supérieure. Students design an individualised programme of study, exploring multidisciplinary perspectives.About this degreeYou will develop an understanding of the cognitive sciences and neurosciences, and how mechanisms operating at the molecular, cell, network and system level affect normal brain function. They gain a working knowledge of modern methods for scientific and clinical investigation of the human nervous system, along with exposure to leading-edge research.",September,"Full time - £14,100",MSc,1 year full time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/brain-and-mind-sciences-msc/?i274d4344c19924,regist interest graduat studi uclthi intern programm offer three europ prestigi centr research teach cognit studi neurosci ucl université pierr et mari curi part sorbonn univers ecol normal supérieur student design individualis programm studi explor multidisciplinari perspectivesabout degreey develop understand cognit scienc neurosci mechan oper molecular cell network system level affect normal brain function gain work knowledg modern method scientif clinic investig human nervou system along exposur leadingedg research,brain mind scienc msc,univers colleg london,london,11186.52
Econometrics and Operations Research: Econometrics and Data Science MSc,Vrije Universiteit Amsterdam,School of Business and Economics,['Full Time'],"Econometrics and Operations Research opens a window to a complicated world that provides insights on which people, businesses and governments base their decisions.Econometrics is the science and art of using statistical methods to analyze financial, marketing and economic data, nowadays often Big Data. Operations Research is the science and art of making better decisions in economics, management and finance using mathematical methods.Econometrics Specializations:Climate EconometricsEconometrics and Data ScienceEconometric TheoryFinancial EconometricsMarketing Data Science Quantitative EconomicsOperations Research",September,"EU/EER Student: €1,084 NON-EU Student: €15,546",MSc,Full-time: 1 year,Amsterdam,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/econometrics-and-operations-research-econometrics-and-data-science-msc/?i384d8541c63316,econometr oper research open window complic world provid insight peopl busi govern base decisionseconometr scienc art use statist method analyz financi market econom data nowaday often big data oper research scienc art make better decis econom manag financ use mathemat methodseconometr specializationsclim econometricseconometr data scienceeconometr theoryfinanci econometricsmarket data scienc quantit economicsoper research,econometr oper research econometr data scienc msc,vrije universiteit amsterdam,amsterdam,14209.2
Econometrics (MSc),Erasmus School of Economics,Masters Programmes,['Full Time'],"Would you like to acquire the skills to be able to use advanced econometrics to model real-life issues? Whether you wish to examine to what extent government policies affect individual decision making, how to model and predict economic recessions, or estimate the probability of a total failure of the Dutch power network, this programme will help you to do so. It will not only provide you with in-depth knowledge of econometric theory, but will also perfect your skills to use advanced quantitative methods and techniques, perform empirical econometric analysis and develop and apply new models.",September,Tuition fees (2023-2024)  €2.314 (Statutory fee: Dutch / EEA students) €12.600 (Institutional fee: Dutch / EEA students) €16.100 (Institutional fee: non-EEA students),MSc,1 year,Rotterdam,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/econometrics-msc/?i2814d7765c50630,would like acquir skill abl use advanc econometr model reallif issu whether wish examin extent govern polici affect individu decis make model predict econom recess estim probabl total failur dutch power network programm help provid indepth knowledg econometr theori also perfect skill use advanc quantit method techniqu perform empir econometr analysi develop appli new model,econometr msc,erasmu school econom,rotterdam,14.72
International Criminal Justice and Intelligence (Distance Learning),University of Portsmouth,School of Criminology and Criminal Justice,['Part Time'],This course is still being set up. For more information please contact the University of Portsmouth.,September,,MSc,2 years part-time distance learning,Portsmouth,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/international-criminal-justice-and-intelligence-distance-learning/?i343d744c70870,cours still set inform pleas contact univers portsmouth,intern crimin justic intellig distanc learn,univers portsmouth,portsmouth,
Conservation MSc,University College London,Department of Geography,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe UCL Conservation MSc is widely recognised as a leading programme for aspiring nature conservation professionals. This highly successful degree programme saw its first students graduate in 1960, and about 80% of its graduates have gone on to secure posts related to conservation.",September,"Full time - £16,100 Part time - £8,050",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/conservation-msc/?i274d1849c20143,regist interest graduat studi uclth ucl conserv msc wide recognis lead programm aspir natur conserv profession highli success degre programm saw first student graduat 1960 80 graduat gone secur post relat conserv,conserv msc,univers colleg london,london,12773.26
Global Business - MSc,University of Hertfordshire,Hertfordshire Business School,['Full Time'],"Why choose Herts?Industry Accreditation: Students on this course benefit from prestigious International accreditations.Industry-Focused Content: This course enables you to explore business and develop language skills in other countries. You will travel to either Paris, Moscow, Bremen, Valencia, or Wilmington to study abroad.Employment Prospects: Our graduates work in leadership roles all over the world for companies including IQVIA, GSK, and Deloitte.About the courseCourse and module",See Course,UK Students Full time £6470 for 1 semester for the 2022/2023 academic year £7900 for 2 semesters in for the 2022/2023 academic year  EU/International Students Full time £6470 for 1 semester for the 2022/2023 academic year £7900 for 2 semesters for the 2022/2023 academic year,MSc,1 year full-time,Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/global-business-msc/?i313d3269c26594,choos hertsindustri accredit student cours benefit prestigi intern accreditationsindustryfocus content cours enabl explor busi develop languag skill countri travel either pari moscow bremen valencia wilmington studi abroademploy prospect graduat work leadership role world compani includ iqvia gsk deloitteabout coursecours modul,global busi msc,univers hertfordshir,hatfield,6267.62
Counter Terrorism and Security-MSC,Canterbury Christ Church University,"Faculty of Science, Engineering and Social Sciences",[],"Connecting the complex terrorism landscape with a range of security threats, this course provides the opportunity for students to engage in a wide range of 21st Century issues.Understanding the challenges and risks from the threat from terrorism, what motivates terrorist activity and what the global response has been to the varied threats will be key elements of this course and will ensure that students have the knowledge and analytical skills to contribute meaningfully to solutions in these areas.We have a track record of high student satisfaction relating to our knowledge of counter-terrorism and security issues, as well as speakers directly working in the field. The course is taught and facilitated by academics, as well as professionals from varied backgrounds.",September,"Full time UK £8,655 Overseas £14,500 Part-time UK £4,330",MSc,"1 year full time, 2 years part time",Canterbury,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/counter-terrorism-and-security-msc/?i32d2710c71539,connect complex terror landscap rang secur threat cours provid opportun student engag wide rang 21st centuri issuesunderstand challeng risk threat terror motiv terrorist activ global respons vari threat key element cours ensur student knowledg analyt skill contribut meaning solut areasw track record high student satisfact relat knowledg counterterror secur issu well speaker directli work field cours taught facilit academ well profession vari background,counter terror securitymsc,canterburi christ church univers,canterburi,11503.86
MSc Sports Business and Management,University of Liverpool,Liverpool Online Programmes,['Part Time'],"Develop your management skills while simultaneously building your confidence to successfully work within the global business of sport with this part-time, fully online Sports Business and Management MSc from the University of Liverpool. Designed by leading academics at the University of Liverpool’s AACSB, AMBA and EQUIS accredited Management School, this programme is designed to develop your skills and knowledge in the range of business and management disciplines that underpin the global sports industry, enabling you to work effectively in a range of roles within this exciting and dynamic industry. ","January, May",,"MSc,PGDip,PGCert",2.5 years,Liverpool,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/msc-sports-business-and-management/?i326d8583c60353,develop manag skill simultan build confid success work within global busi sport parttim fulli onlin sport busi manag msc univers liverpool design lead academ univers liverpool ’ aacsb amba equi accredit manag school programm design develop skill knowledg rang busi manag disciplin underpin global sport industri enabl work effect rang role within excit dynam industri,msc sport busi manag,univers liverpool,liverpool,
Advanced Aerospace Engineering MSc (Eng),University of Liverpool,Department of Engineering,['Full Time'],"Discover how to design, build and test different aircraft on this MSc (Eng) for graduates in engineering and physical sciences. This accredited master’s includes a practical aircraft design project, independent research project, and opportunities to explore the principles of space flight and spacecraft design.INTRODUCTIONPrepare for a career designing, developing and testing aircraft, spacecraft and satellites on this accredited master’s.Building on your existing knowledge of engineering, you’ll learn flight handling qualities for different types of aircraft and design tasks for use in piloted simulation missions.",September,"UK fees (applies to Channel Islands, Isle of Man and Republic of Ireland) Full-time place, per year - £11,950  International fees Full-time place, per year - £26,350",MSc,1 year full time,Liverpool,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/advanced-aerospace-engineering-msc-eng/?i326d906c640,discov design build test differ aircraft msc eng graduat engin physic scienc accredit master ’ includ practic aircraft design project independ research project opportun explor principl space flight spacecraft designintroductionprepar career design develop test aircraft spacecraft satellit accredit master ’ sbuild exist knowledg engin ’ learn flight handl qualiti differ type aircraft design task use pilot simul mission,advanc aerospac engin msc eng,univers liverpool,liverpool,20905.3
Digital Economy,University of Portsmouth,Faculty of Business and Law,[],This is a new course and we’re currently finalising the detailed information for this page. For more information please contact the University of Portsmouth.,"September, January",,MSc,"12 months full-time (September intake), 13 months full-time (January intake)",Portsmouth,United Kingdom,Full Time,https://www.findamasters.com/masters-degrees/course/digital-economy/?i343d6396c71894,new cours ’ current finalis detail inform page inform pleas contact univers portsmouth,digit economi,univers portsmouth,portsmouth,
Banking and Finance MSc,Middlesex University,Faculty of Business and Law,"['Full Time', 'Part Time']","The banking and finance industry has become a major end-user and even a major driver of technological innovation, such as machine learning, big data analysis and algorithm trading. This course uniquely combines theory and applications of finance, economics, quantitative methods, and big data analysis to allow you to increase your career opportunities in this fast paced field.",October,"UK students Full-time students: £12,700 Part-time students: £85 per credit Part-time students: £42 per dissertation credit  EU/International students Full-time students: £16,800 Part-time students: £112 per credit Part-time students: £56 per dissertation credit",MSc,1 year full-time; 2 years part-time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/banking-and-finance-msc/?i166d8738c31037,bank financ industri becom major endus even major driver technolog innov machin learn big data analysi algorithm trade cours uniqu combin theori applic financ econom quantit method big data analysi allow increas career opportun fast pace field,bank financ msc,middlesex univers,london,13328.62
Automation Control and Robotics (Work Experience) (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],"Develop and enhance your advanced technical and problem-solving skills in the areas of control engineering, industrial automation and robotics, with additional work experience.","September, January","Home: £9,910 per year (£1,500 for placement year) International/EU: £16,385 per year (£1,500 for placement year)  Please see the university website for further information on fees for this course.",MSc,2 years full time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/automation-control-and-robotics-work-experience-msc/?i219d2021c68042,develop enhanc advanc technic problemsolv skill area control engin industri autom robot addit work experi,autom control robot work experi msc,sheffield hallam univers,sheffield,12999.37
Exercise and Physical Activity for Special Populations and Healthy Ageing MSc (Distance Education),Middlesex University,Faculty of Science and Technology,['Full Time'],"Originally developed at Middlesex University, the first degree in the UK to focus purely on how to prescribe safe and effective physical activity, exercise and sporting participation to those living with the 18 most common chronic diseases in the UK and healthy ageing.Our online distance education version means you can access the support of our experts, while interacting with others on the course, at a time to suit you.",October,"UK students MSc Full-time students: £8,900 Part-time students: £59 per credit Part-time students: £30 per dissertation credit  EU/International students MSc Full-time students: £11,500 Part-time students: £77 per credit Part-time students: £38 per dissertation credit",MSc,1 year full time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/exercise-and-physical-activity-for-special-populations-and-healthy-ageing-msc-distance-education/?i166d5300c71368,origin develop middlesex univers first degre uk focu pure prescrib safe effect physic activ exercis sport particip live 18 common chronic diseas uk healthi ageingour onlin distanc educ version mean access support expert interact other cours time suit,exercis physic activ special popul healthi age msc distanc educ,middlesex univers,london,9123.76
Logistics and Supply Chain Management (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],Gain the knowledge and skills required to manage global supply chains and associated logistics.,"September, January","Our tuition fee for UK students starting full-time study in 2023/24 is £9,910 for the course without a placement. Or £11,410 with a placement.  Please see the university website for further information on fees for this course.",MSc,1 year/16 months full-time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/logistics-and-supply-chain-management-msc/?i219d2021c18955,gain knowledg skill requir manag global suppli chain associ logist,logist suppli chain manag msc,sheffield hallam univers,sheffield,9052.35
Cognitive Neuroscience MSc,University College London,Division of Psychology and Language Sciences,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThe Cognitive Neuroscience MSc at UCL is a research-led, state-of-the-art degree programme on mental processes in the human brain. The programme brings together some of the world's leading researchers in cognitive neuroscience and cognitive neuropsychology.About this degreeYou will learn about the relationship between the mind and the brain in patients and healthy individuals, alongside the ideas, methodology, and current state of knowledge in cognitive neuroscience. Students learn in the classroom and laboratory via a combination of lectures, discussions and practical work. Alongside discipline-specific knowledge and skills, the programme develops key transferable skills.",September,"Full time - £14,100 Part time - £7,050",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/cognitive-neuroscience-msc/?i274d1836c20093,regist interest graduat studi uclth cognit neurosci msc ucl researchl stateoftheart degre programm mental process human brain programm bring togeth world lead research cognit neurosci cognit neuropsychologyabout degreey learn relationship mind brain patient healthi individu alongsid idea methodolog current state knowledg cognit neurosci student learn classroom laboratori via combin lectur discuss practic work alongsid disciplinespecif knowledg skill programm develop key transfer skill,cognit neurosci msc,univers colleg london,london,11186.52
Master of Science (MS) in Applied Life Sciences,Keck Graduate Institute,Henry E. Riggs School of Applied Life Sciences,['Full Time']," Welcome to the Master of Science (MS) in Applied Life Sciences program!This two-year MS program prepares students for a successful lifelong career in translational research and management.This program aims to teach individuals to translate scientific research into medical products useful to the world at large. It emphasizes specific training in translational and clinical research skills and a deep understanding of the context within which medical science is translated for societal benefit, including management skills.Graduates are uniquely positioned to excel in a variety of careers addressing the critical and managerial needs of biotechnology and pharmaceutical companies, as well as clinical and academic laboratories.",See Course,,MSc,2 year,Los Angeles,USA,On Campus,https://www.findamasters.com/masters-degrees/course/master-of-science-ms-in-applied-life-sciences/?i2658d8002c53551,welcom master scienc ms appli life scienc programthi twoyear ms program prepar student success lifelong career translat research managementthi program aim teach individu translat scientif research medic product use world larg emphas specif train translat clinic research skill deep understand context within medic scienc translat societ benefit includ manag skillsgradu uniqu posit excel varieti career address critic manageri need biotechnolog pharmaceut compani well clinic academ laboratori,master scienc ms appli life scienc,keck graduat institut,lo angel,
